Country ,2019 Wine Imports in USD,% change from 2018 imports
Burkina Faso,"$3,392,000 ",-7.80%
Saint Lucia,"$3,385,000 ",-31.70%
Oman,"$3,352,000 ",-14.60%
Azerbaijan,"$3,178,000 ",25.20%
Ethiopia,"$3,169,000 ",-12.10%
Jordan,"$3,139,000 ",54.50%
British Virgin Is,"$3,075,000 ",10.80%
US Minor Outlying Is,"$2,898,000 ",43%
Kyrgyzstan,"$2,837,000 ",-4.40%
Haiti,"$2,745,000 ",-71.10%
Uganda,"$2,739,000 ",-41.70%
Faroe Islands,"$2,736,000 ",2.40%
Gibraltar,"$2,717,000 ",-3.90%
Rwanda,"$2,609,000 ",-19.90%
Belize,"$2,530,000 ",4.90%
Nicaragua,"$2,427,000 ",-12%
Madagascar,"$2,270,000 ",7.30%
Benin,"$2,232,000 ",38.20%
Malawi,"$2,089,000 ",469.20%
Suriname,"$2,046,000 ",122.10%
Tunisia,"$2,013,000 ",116.90%
Mali,"$1,958,000 ",6%
Uzbekistan,"$1,894,000 ",340.50%
Nepal,"$1,837,000 ",-9.90%
Vanuatu,"$1,774,000 ",9.60%
North Korea,"$1,534,000 ",89.60%
Armenia,"$1,509,000 ",-0.70%
St Vincent/Grenadines,"$1,331,000 ",-28.90%
Bolivia,"$1,222,000 ",-53.40%
Grenada,"$1,221,000 ",-25.50%
Cook Islands,"$1,190,000 ",-2.10%
Guinea,"$1,168,000 ",-31%
Tajikistan,"$1,117,000 ",52.20%
North Macedonia,"$1,099,000 ",61.10%
St. Pierre/Miquelon,"$1,097,000 ",-5.30%
Saint Kitts/Nevis,"$1,097,000 ",53.20%
Bonaire/St Eustatius/Saba,"$1,035,000 ",-8.80%
Wallis and Futuna Is,"$918,000 ",213.30%
Liberia,"$864,000 ",2.90%
Niger,"$859,000 ",153.40%
Timor-Leste,"$795,000 ",-32.90%
Sierra Leone,"$781,000 ",37%
Pakistan,"$774,000 ",585%
Central African Republic,"$772,000 ",75.90%
Chad,"$771,000 ",-4.90%
Burundi,"$756,000 ",-24.50%
Guyana,"$653,000 ",28%
Bangladesh,"$627,000 ",-29.80%
Gambia,"$612,000 ",1700%
Turkmenistan,"$590,000 ",-31.90%
Anguilla,"$548,000 ",52.20%
Djibouti,"$502,000 ",-22.80%
Solomon Islands,"$445,000 ",-54.70%
Norfolk Island,"$439,000 ",-6.40%
Zimbabwe,"$419,000 ",-92.30%
Bhutan,"$403,000 ",-44.20%
Mauritania,"$398,000 ",-48.60%
Brunei Darussalam,"$385,000 ",109.20%
Samoa,"$365,000 ",461.50%
Comoros,"$359,000 ",33%
Tonga,"$336,000 ",-15.60%
Dominica,"$330,000 ",-16.70%
Saint Helena,"$264,000 ",-13.70%
St Maarten (Dutch),"$208,000 ",-78.20%
Sudan,"$201,000 ",-79.30%
Guam,"$197,000 ",392.50%
Falkland Is (Malvinas),"$182,000 ",-9.50%
Iran,"$172,000 ",0%
Libya,"$130,000 ",1344%
Syrian Arab Republic,"$126,000 ",-73.90%
Marshall Islands,"$126,000 ",-33.70%
Micronesia,"$109,000 ",25.30%
Niue,"$105,000 ",32.90%
Afghanistan,"$94,000 ",0%
Palau,"$92,000 ",-77.60%
Kuwait,"$91,000 ",9000%
Christmas Island,"$81,000 ",-24.30%
Northern Mariana Is,"$68,000 ",-87.10%
French S./Antarctic Terr,"$54,000 ",38.50%
Montserrat,"$42,000 ",0%
South Sudan,"$36,000 ",89.50%
Cocos (Keeling) Islands,"$35,000 ",-27.10%
Tuvalu,"$29,000 ",-32.60%
Nauru,"$23,000 ",0%
Kiribati,"$22,000 ",-29%
Somalia,"$10,000 ",-56.50%
Palestine,"$8,000 ",-84.30%
Pitcairn,"$6,000 ",0%
Eritrea,"$4,000 ",-91.50%
